organism	bioproject	count	manual_cur
gut metagenome	PRJEB39223	5428	human
metagenome	PRJNA1004982	4363	human
metagenome	PRJEB22062	3670	pig or chicken
gut metagenome	PRJEB26961	3231	pig
metagenome	PRJNA943687	3101	human
feces metagenome	PRJEB58441	2845	other
gut metagenome	PRJNA217052	2534	human
metagenome	PRJNA758252	2529	human
metagenome	PRJEB28097	2176	human
feces metagenome	PRJNA763692	1858	human
gut metagenome	PRJEB8094	1844	human
gut metagenome	PRJNA528511	1803	human
gut metagenome	PRJNA1139229	1774	human
gut metagenome	PRJNA820119	1617	human
feces metagenome	PRJNA1130110	1583	human
gut metagenome	PRJEB24041	1581	human
gut metagenome	PRJEB14847	1535	human
metagenome	PRJNA686265	1426	human
metagenome	PRJNA685797	1358	human
feces metagenome	PRJEB39685	1269	pig/other
metagenome	PRJNA682246	1264	human
feces metagenome	PRJNA779106	1236	pig/other
metagenome	PRJNA999635	1224	human
gut metagenome	PRJNA259274	1224	primate
feces metagenome	PRJNA915251	1219	human
metagenome	PRJEB62817	1153	human
gut metagenome	PRJNA613947	1099	human
gut metagenome	PRJNA728374	988	human
metagenome	PRJNA995807	962	human
feces metagenome	PRJNA491335	956	human
feces metagenome	PRJEB30834	942	human
feces metagenome	PRJNA769968	942	human
gut metagenome	PRJNA945408	936	human
unidentified	PRJEB40383	922	human or animal
metagenome	PRJNA755324	916	human
metagenome	PRJEB15179	914	human
metagenome	PRJEB70508	889	human
metagenome	PRJEB51501	824	other
gut metagenome	PRJNA1177009	809	human
gut metagenome	PRJNA1148078	776	human
feces metagenome	PRJNA662107	743	human
metagenome	PRJNA824667	730	other
gut metagenome	PRJNA494875	713	pig
gut metagenome	PRJEB32631	709	human
metagenome	PRJEB26357	704	human
feces metagenome	PRJNA528960	694	human
metagenome	PRJEB6337	677	human
feces metagenome	PRJNA1006089	676	human
metagenome	PRJEB39500	658	human
metagenome	PRJNA716780	654	human
feces metagenome	PRJNA650228	650	human
metagenome	PRJEB14155	638	other
bacterium	PRJEB20308	628	dog/human/mice/pig
gut metagenome	PRJNA412411	619	human
gut metagenome	PRJNA1096289	608	human
metagenome	PRJNA634666	587	human
gut metagenome	PRJNA994318	586	human
metagenome	PRJNA728908	582	human
gut metagenome	PRJNA758208	582	human
gut metagenome	PRJNA904924	580	human
feces metagenome	PRJEB29127	579	human
metagenome	PRJNA890008	560	human
metagenome	PRJEB47458	537	human
gut metagenome	PRJEB34871	527	human
gut metagenome	PRJEB32496	520	pig/other
gut metagenome	PRJNA703757	517	human
metagenome	PRJNA675598	512	human
gut metagenome	PRJNA686835	512	human
feces metagenome	PRJEB59119	504	pig/other
feces metagenome	PRJNA741822	500	human
gut metagenome	PRJNA862077	497	human
metagenome	PRJEB40095	495	mouse
gut metagenome	PRJNA1082665	491	other
feces metagenome	PRJEB32834	473	human
gut metagenome	PRJEB40628	461	human
gut metagenome	PRJNA1082632	459	human
metagenome	PRJEB13870	435	human
metagenome	PRJNA692042	428	primate
metagenome	PRJNA1165922	425	human
metagenome	PRJNA1164203	417	
gut metagenome	PRJNA668357	415	human
gut metagenome	PRJEB42363	402	human
gut metagenome	PRJNA849338	400	other
feces metagenome	PRJEB29373	396	human
feces metagenome	PRJEB37731	396	human
metagenome		393	
gut metagenome	PRJNA644666	376	human
metagenome	PRJNA911205	369	
gut metagenome	PRJEB25008	366	human
gut metagenome	PRJNA485056	362	human
metagenome	PRJNA860656	359	
gut metagenome	PRJEB28237	350	
metagenome	PRJEB35816	349	human
gut metagenome	PRJEB23010	349	other
metagenome	PRJEB62878	348	pig/other
gut metagenome	PRJEB43044	345	
gut metagenome	PRJNA1102664	339	pig
metagenome	PRJNA821237	338	
metagenome	PRJNA739170	333	
feces metagenome	PRJNA722129	327	human
gut metagenome	PRJNA454826	326	
gut metagenome	PRJNA375935	324	
metagenome	PRJNA625520	320	human
gut metagenome	PRJNA739008	320	human
gut metagenome	PRJNA762360	320	
metagenome	PRJNA739858	317	
metagenome	PRJNA928744	316	human
metagenome	PRJNA526405	315	pig
gut metagenome	PRJNA656389	313	other
gut metagenome	PRJNA514108	309	
gut metagenome	PRJNA706060	305	
gut metagenome	PRJEB22973	303	human
gut metagenome	PRJNA421881	301	human
gut metagenome	PRJNA872328	301	human
metagenome	PRJEB34736	301	pig
metagenome	PRJNA768409	301	
metagenome	PRJNA624763	300	
unidentified	PRJEB12458	299	pig
gut metagenome	PRJNA706116	299	
gut metagenome	PRJNA589622	295	
metagenome	PRJNA698459	294	
metagenome	PRJEB45815	287	
feces metagenome	PRJEB22175	285	human
metagenome	PRJNA944403	281	
feces metagenome	PRJNA347511	280	human
gut metagenome	PRJEB33013	279	
gut metagenome	PRJEB50568	272	human
metagenome	PRJNA699281	271	
gut metagenome	PRJNA647523	268	
feces metagenome	PRJNA539933	263	human
feces metagenome	PRJNA811727	262	human
feces metagenome	PRJNA773596	261	human
feces metagenome	PRJNA782533	261	human
metagenome	PRJEB45443	261	
gut metagenome	PRJNA835516	259	
feces metagenome	PRJNA613834	256	human
metagenome	PRJNA885137	255	
gut metagenome	PRJNA931814	255	
metagenome	PRJEB28384	255	
feces metagenome	PRJNA393237	254	human
gut metagenome	PRJEB72433	251	
gut metagenome	PRJNA954584	247	
metagenome	PRJEB40995	245	
gut metagenome	PRJNA938297	243	
metagenome	PRJNA841806	241	human
gut metagenome	PRJNA873083	240	
feces metagenome	PRJNA818062	235	human
gut metagenome	PRJNA433459	234	
feces metagenome	PRJNA1163957	233	pig
metagenome	PRJEB25954	233	
gut metagenome	PRJNA649273	233	
manure metagenome	PRJNA737271	232	pig
gut metagenome	PRJNA1138429	230	
feces metagenome	PRJNA432958	225	human
gut metagenome	PRJNA844237	225	pig
metagenome	PRJNA684454	225	
unidentified	PRJEB12466	219	
gut metagenome	PRJNA1002577	218	human
gut metagenome	PRJNA918651	209	
gut metagenome	PRJNA504891	209	
gut metagenome	PRJNA1008138	208	human
metagenome	PRJEB48897	208	
metagenome	PRJNA824068	205	
gut metagenome	PRJNA894204	205	
gut metagenome	PRJNA745329	199	
metagenome	PRJNA453374	199	
metagenome	PRJNA813705	197	
feces metagenome	PRJNA562600	196	human
metagenome	PRJNA1063508	193	
gut metagenome	PRJNA635116	192	
metagenome	PRJEB38000	190	human
metagenome	PRJEB49428	190	human
metagenome	PRJNA494824	189	
gut metagenome	PRJNA768298	188	
metagenome	PRJNA928211	188	
metagenome	PRJNA1137832	187	other
metagenome	PRJNA734720	187	other
feces metagenome	PRJNA598414	186	pig/other
gut metagenome	PRJNA612291	186	
metagenome	PRJNA939514	180	human
metagenome	PRJNA1079906	180	
gut metagenome	PRJNA995885	179	
gut metagenome	PRJEB25514	178	
metagenome	PRJEB31298	177	
metagenome	PRJNA678871	176	
gut metagenome	PRJNA637878	174	
metagenome	PRJEB47975	172	
metagenome	PRJNA1112983	171	
gut metagenome	PRJNA1029994	169	
metagenome	PRJNA827603	169	
feces metagenome	PRJNA770101	165	human
metagenome	PRJEB17643	164	
metagenome	PRJNA685168	160	
gut metagenome	PRJEB22765	159	other
metagenome	PRJNA546227	159	
feces metagenome	PRJNA913183	158	human
feces metagenome	PRJNA728379	158	pig
metagenome	PRJEB51056	158	
feces metagenome	PRJNA796172	151	pig
metagenome	PRJNA877821	151	
feces metagenome	PRJNA757579	150	
gut metagenome	PRJNA1121295	148	
gut metagenome	PRJNA853814	147	
gut metagenome	PRJNA645414	147	
gut metagenome	PRJEB1690	145	
gut metagenome	PRJEB45397	145	
manure metagenome	PRJNA633392	142	pig
feces metagenome	PRJNA801645	142	pig
gut metagenome	PRJNA1007579	142	
gut metagenome	PRJNA626477	142	
gut metagenome	PRJNA892768	141	other
metagenome	PRJNA1135155	140	
feces metagenome	PRJNA541083	138	human
gut metagenome	PRJNA1101587	138	
gut metagenome	PRJNA942468	137	
feces metagenome	PRJNA951897	136	pig
metagenome	PRJNA939026	136	
metagenome	PRJEB13833	134	
metagenome	PRJNA886719	133	
metagenome	PRJNA1025926	133	
feces metagenome	PRJNA1148628	132	human
metagenome	PRJNA529503	132	pig
metagenome	PRJNA810575	131	
metagenome	PRJNA763503	131	
gut metagenome	PRJNA769489	130	
gut metagenome	PRJNA647157	128	pig
gut metagenome	PRJNA942432	128	pig
metagenome	PRJNA1035800	128	
feces metagenome	PRJNA574851	125	other
metagenome	PRJNA399742	125	
gut metagenome	PRJNA948536	123	
metagenome	PRJEB47445	123	
feces metagenome	PRJNA1065277	122	human
gut metagenome	PRJNA760651	121	pig
metagenome	PRJEB21168	121	pig-associated
metagenome	PRJNA816841	121	
gut metagenome	PRJNA849795	119	
gut metagenome	PRJNA944152	118	
metagenome	PRJNA757365	118	
gut metagenome	PRJNA529487	118	
feces metagenome	PRJNA663646	116	human
metagenome	PRJNA615114	116	
gut metagenome	PRJNA661048	115	
metagenome	PRJEB28815	114	
gut metagenome	PRJNA1111312	114	
metagenome	PRJEB52881	114	
metagenome	PRJEB11852	113	human
feces metagenome	PRJNA983093	111	human
metagenome	PRJNA880558	111	
feces metagenome	PRJNA692830	110	human
feces metagenome	PRJNA902684	109	human
metagenome	PRJNA999451	109	pig
gut metagenome	PRJNA892575	109	
gut metagenome	PRJNA546004	107	
gut metagenome	PRJNA1164032	106	
gut metagenome	PRJNA981159	105	
gut metagenome	PRJNA496479	103	
gut metagenome	PRJNA847006	102	
metagenome	PRJNA761116	101	
metagenome	PRJEB33194	100	
metagenome	PRJEB26531	100	
feces metagenome	PRJNA756556	99	human
feces metagenome	PRJNA947193	99	human
gut metagenome	PRJNA750063	99	
metagenome	PRJEB41866	98	
gut metagenome	PRJEB55125	95	
gut metagenome	PRJNA1071720	95	
gut metagenome	PRJNA1121316	95	
metagenome	PRJEB18041	94	
manure metagenome	PRJNA853181	91	pig
metagenome	PRJNA1072081	91	
gut metagenome	PRJEB22032	90	
gut metagenome	PRJNA725409	90	
gut metagenome	PRJNA1092791	90	
gut metagenome	PRJNA738608	89	human
feces metagenome	PRJNA385215	88	human
gut metagenome	PRJNA801755	88	pig
metagenome	PRJNA861285	87	
feces metagenome	PRJNA809514	86	human
metagenome	PRJEB41865	86	
gut metagenome	PRJEB25210	86	
gut metagenome	PRJEB42019	85	
feces metagenome	PRJNA855128	84	human
metagenome	PRJNA1160072	83	
gut metagenome	PRJNA389927	83	
feces metagenome	PRJNA982563	82	pig-associated
gut metagenome	PRJNA924947	82	
gut metagenome	PRJNA541010	82	
feces metagenome	PRJNA471937	81	pig
metagenome	PRJNA748262	81	
metagenome	PRJNA750571	81	
metagenome	PRJNA1045967	81	
gut metagenome	PRJNA493884	80	
metagenome	PRJNA1115893	80	
metagenome	PRJNA733692	80	
metagenome	PRJNA486782	78	
metagenome	PRJEB14814	78	
metagenome	PRJEB4391	78	
feces metagenome	PRJNA734100	76	pig/other
metagenome	PRJEB14051	76	
metagenome	PRJEB28847	75	
gut metagenome	PRJNA997075	75	
feces metagenome	PRJNA524170	74	human
metagenome	PRJEB52722	74	
metagenome	PRJNA991155	74	
gut metagenome	PRJNA925857	73	human
feces metagenome	PRJNA484080	73	pig-associated
gut metagenome	PRJNA1076911	73	
gut metagenome	PRJNA727667	71	
metagenome	PRJEB33756	71	
metagenome	PRJNA532645	70	
manure metagenome	PRJNA390250	70	
gut metagenome	PRJNA379884	70	
feces metagenome	PRJNA637365	69	human
gut metagenome	PRJNA723432	69	human
gut metagenome	PRJNA386502	69	
metagenome	PRJEB14038	69	
gut metagenome	PRJNA987743	69	
gut metagenome	PRJNA702231	68	
metagenome	PRJNA693652	68	
metagenome	PRJNA492489	66	pig
feces metagenome	PRJNA673918	65	human
metagenome	PRJNA793774	65	human
gut metagenome	PRJNA733006	65	other
feces metagenome	PRJNA691978	64	pig/other
feces metagenome	PRJNA544874	64	
gut metagenome	PRJNA300602	63	
metagenome	PRJNA478719	63	
gut metagenome	PRJNA658422	62	
feces metagenome	PRJNA511899	61	human
gut metagenome	PRJEB23147	61	
gut metagenome	PRJNA526822	61	
manure metagenome	PRJNA633399	60	pig
manure metagenome	PRJNA633402	60	pig
gut metagenome	PRJNA898082	60	
metagenome	PRJNA1104421	60	
metagenome	PRJNA784525	59	pig
