qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
NZ_CABKPS010000085.1,JNJPFMHH_00609,96.875,32,1,0,14308,14339,435,466,1.59E-06,54.7
NZ_CABKPS010000085.1,LELECALD_01432,96.875,32,1,0,14308,14339,120,89,1.59E-06,54.7
NZ_CABKPS010000085.1,MJGCHCAG_01435,96.875,32,1,0,14308,14339,120,89,1.59E-06,54.7
NZ_CABKPS010000085.1,LDBAILDD_01444,94.595,37,1,1,14303,14339,88,53,4.43E-07,56.5
NZ_CABKPS010000042.1,OGBAOKDM_01877,100,32,0,0,73758,73789,28,59,2.09E-07,60.2
NZ_CABKPS010000030.1,CNAIGNGD_02025,100,31,0,0,1,31,1251,1221,1.60E-07,58.4
NZ_CABKPS010000030.1,OGCEAMGH_00419,100,31,0,0,1,31,153,123,1.60E-07,58.4
NZ_CABKPS010000030.1,NFHPINHL_01960,100,31,0,0,1,31,54,84,1.60E-07,58.4
NZ_CABKPS010000030.1,DPGLHGEM_00276,100,31,0,0,1,31,54,84,1.60E-07,58.4
NZ_CABKPS010000030.1,OGBAOKDM_01877,100,31,0,0,1,31,90,60,1.60E-07,58.4
NZ_CABKPS010000030.1,FDMBMIOF_01144,100,31,0,0,1,31,90,120,1.60E-07,58.4
NZ_CABKPS010000030.1,GHAOALEP_01836,100,31,0,0,1,31,99,69,1.60E-07,58.4
NZ_JBNPLY010000017.1,OGBAOKDM_01877,100,32,0,0,33855,33886,28,59,1.13E-07,60.2
NZ_CABKPS010000012.1,GHAOALEP_01836,94.737,38,2,0,2,39,103,66,5.70E-08,60.2
NZ_CABKPS010000030.1,CPNIBBMP_00612,100,32,0,0,1,32,54,85,4.44E-08,60.2
NZ_CABKPS010000030.1,NLNDMPIO_00988,100,32,0,0,1,32,2820,2789,4.44E-08,60.2
NZ_CABKPS010000085.1,CNAIGNGD_02025,100,32,0,0,14308,14339,1221,1252,3.42E-08,60.2
NZ_CABKPS010000085.1,PHCPEEKD_00591,100,32,0,0,14308,14339,237,268,3.42E-08,60.2
NZ_CABKPS010000085.1,OGCEAMGH_00419,100,32,0,0,14308,14339,123,154,3.42E-08,60.2
NZ_CABKPS010000085.1,NFHPINHL_01960,100,32,0,0,14308,14339,84,53,3.42E-08,60.2
NZ_CABKPS010000085.1,DPGLHGEM_00276,100,32,0,0,14308,14339,84,53,3.42E-08,60.2
NZ_CABKPS010000085.1,CPNIBBMP_00612,100,32,0,0,14308,14339,84,53,3.42E-08,60.2
NZ_CABKPS010000085.1,NLNDMPIO_00988,100,32,0,0,14308,14339,2790,2821,3.42E-08,60.2
NZ_CABKPS010000085.1,OGBAOKDM_01877,100,32,0,0,14308,14339,60,91,3.42E-08,60.2
NZ_CABKPS010000012.1,CNAIGNGD_02025,97.222,36,1,0,1,36,1256,1221,1.58E-08,62.1
NZ_CABKPS010000012.1,OGCEAMGH_00419,97.222,36,1,0,1,36,158,123,1.58E-08,62.1
NZ_CABKPS010000012.1,NFHPINHL_01960,97.222,36,1,0,1,36,49,84,1.58E-08,62.1
NZ_CABKPS010000012.1,DPGLHGEM_00276,97.222,36,1,0,1,36,49,84,1.58E-08,62.1
NZ_CABKPS010000012.1,OGBAOKDM_01877,97.222,36,1,0,1,36,95,60,1.58E-08,62.1
NZ_CABKPS010000030.1,PHCPEEKD_00591,100,33,0,0,1,33,267,235,1.24E-08,62.1
NZ_CABKPS010000085.1,FDMBMIOF_01144,100,33,0,0,14307,14339,121,89,9.52E-09,62.1
NZ_CABKPS010000085.1,GHAOALEP_01836,100,33,0,0,14307,14339,68,100,9.52E-09,62.1
NZ_CABKPS010000012.1,PHCPEEKD_00591,97.297,37,1,0,1,37,272,236,4.40E-09,63.9
NZ_JBNPLY010000066.1,GHAOALEP_01836,100,31,0,0,1,31,73,103,2.79E-09,58.4
NZ_CABKPS010000012.1,NLNDMPIO_00988,97.368,38,1,0,1,38,2825,2788,1.22E-09,65.8
NZ_CABKPS010000012.1,FDMBMIOF_01144,95.122,41,2,0,1,41,85,125,1.22E-09,65.8
NZ_CABKPS010000012.1,CPNIBBMP_00612,97.436,39,1,0,1,39,49,87,3.40E-10,67.6
NZ_CABKPS010000012.1,LDBAILDD_01444,100,36,0,0,1,36,49,84,3.40E-10,67.6
NZ_CABKPS010000012.1,JNJPFMHH_00609,100,36,0,0,1,36,470,435,3.40E-10,67.6
NZ_CABKPS010000012.1,MJGCHCAG_01435,100,36,0,0,1,36,85,120,3.40E-10,67.6
NZ_CABKPS010000012.1,LELECALD_01432,100,38,0,0,1,38,85,122,2.63E-11,71.3
NZ_JBNPLY010000066.1,CNAIGNGD_02025,100,39,0,0,1,39,1225,1263,9.95E-14,73.1
NZ_JBNPLY010000066.1,PHCPEEKD_00591,100,39,0,0,1,39,241,279,9.95E-14,73.1
NZ_JBNPLY010000066.1,OGCEAMGH_00419,100,39,0,0,1,39,127,165,9.95E-14,73.1
NZ_JBNPLY010000066.1,JNJPFMHH_00609,100,39,0,0,1,39,439,477,9.95E-14,73.1
NZ_JBNPLY010000066.1,NLNDMPIO_00988,100,39,0,0,1,39,2794,2832,9.95E-14,73.1
NZ_JBNPLY010000066.1,OGBAOKDM_01877,100,39,0,0,1,39,64,102,9.95E-14,73.1
NZ_JBNPLY010000066.1,GHAOALEP_01836,100,68,0,0,103,170,1,68,7.53E-30,126
NZ_JBNPLY010000031.1,GGLHANJG_00018,92,100,8,0,9468,9567,276,375,1.24E-32,141
NZ_JBNPLY010000066.1,NFHPINHL_01960,98.75,80,1,0,1,80,80,1,7.48E-35,143
NZ_JBNPLY010000066.1,CPNIBBMP_00612,98.75,80,1,0,1,80,80,1,7.48E-35,143
NZ_CABKPS010000033.1,DFBCAOKP_00924,100,84,0,0,47502,47585,154,237,2.02E-36,156
NZ_JBNPLY010000066.1,DPGLHGEM_00276,100,80,0,0,1,80,80,1,1.61E-36,148
NZ_JBNPLY010000066.1,LDBAILDD_01444,100,80,0,0,1,80,80,1,1.61E-36,148
NZ_CABKPS010000009.1,ELBNIJGI_01795,87.117,163,19,2,1,162,1114,1275,5.47E-45,183
NZ_CABKPS010000009.1,GGLHANJG_00583,87.117,163,19,2,1,162,1114,1275,5.47E-45,183
NZ_CABKPS010000009.1,GGLHANJG_00429,87.117,163,19,2,1,162,1114,1275,5.47E-45,183
NZ_CABKPS010000009.1,OBIFKDGN_00380,87.117,163,19,2,1,162,1114,1275,5.47E-45,183
NZ_CABKPS010000009.1,KGNNDHGO_00080,87.117,163,19,2,1,162,1114,1275,5.47E-45,183
NZ_CABKPS010000009.1,DHNJBMBM_01066,87.117,163,19,2,1,162,1114,1275,5.47E-45,183
NZ_CABKPS010000009.1,CFOHNOJF_01851,87.117,163,19,2,1,162,1114,1275,5.47E-45,183
NZ_CABKPS010000009.1,HEPEIOMC_01936,87.117,163,19,2,1,162,1114,1275,5.47E-45,183
NZ_CABKPS010000009.1,FFOBAGKA_00555,87.117,163,19,2,1,162,1114,1275,5.47E-45,183
NZ_CABKPS010000009.1,OAMAMMGM_00277,87.117,163,19,2,1,162,1114,1275,5.47E-45,183
NZ_CABKPS010000009.1,KLKNKOKK_00931,87.117,163,19,2,1,162,1114,1275,5.47E-45,183
NZ_CABKPS010000009.1,NLNDMPIO_00614,87.117,163,19,2,1,162,1114,1275,5.47E-45,183
